DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
Diagnostics programme immo L'Etang la ville-6.jpeg;691;678787;806729;0,028082124;0,033375217;0,03;0,03
Diagnostics programme immo L'Etang la ville-7.jpeg;856;851412;885891;0,0352238;0,036650232;0,04;0,04
Diagnostics programme immo L'Etang la ville-8.jpeg;1199;2309111;2625273;0,095530323;0,108610273;0,1;0,11
Diagnostics programme immo L'Etang la ville-9.jpeg;859;801636;929651;0,033164515;0,038460628;0,03;0,04
immobilier Upside L'atelier  2-0.jpeg;2329;6922676;7231735;0,286398303;0,299184395;0,29;0,3
immobilier Upside L'atelier  2-1.jpeg;1883;546686;806838;0,022616968;0,033379727;0,02;0,03
immobilier Upside L'atelier  2-2.jpeg;4719;2286132;2905479;0,094579657;0,120202687;0,09;0,12
immobilier Upside L'atelier  2-3.jpeg;1700;6110496;6369158;0,252797572;0,263498688;0,25;0,26
immobilier Upside L'atelier  2-4.jpeg;1623;8111806;8660627;0,335593847;0,358299142;0,34;0,36
immobilier Upside L'atelier  2-5.jpeg;3027;1404510;1861795;0,058106039;0,077024395;0,06;0,08
immobilier Upside L'atelier  2-6.jpeg;3068;1816137;2346128;0,075135476;0,097061754;0,08;0,1
immobilier Upside L'atelier  2-7.jpeg;2626;2118891;2824525;0,087660723;0,116853536;0,09;0,12
immobilier Upside L'atelier  2-8.jpeg;1923;1963277;2483809;0,08122281;0,10275776;0,08;0,1
immobilier Upside L'atelier -0.jpeg;815;6933;3781015;0,000286825;0,156424521;0;0,16
immobilier Upside L'atelier -1.jpeg;2329;6922676;7231735;0,286398303;0,299184395;0,29;0,3
immobilier Upside L'atelier -10.jpeg;2626;2118891;2824525;0,087660723;0,116853536;0,09;0,12
immobilier Upside L'atelier -11.jpeg;1923;1963277;2483809;0,08122281;0,10275776;0,08;0,1
immobilier Upside L'atelier -12.jpeg;526;6499717;6811525;0,268900049;0,28179987;0,27;0,28
immobilier Upside L'atelier -13.jpeg;439;7931439;7915116;0,328131877;0,327456577;0,33;0,33
immobilier Upside L'atelier -14.jpeg;355;197973;375872;0,008190349;0,015550215;0,01;0,02
immobilier Upside L'atelier -15.jpeg;169;6952079;7005185;0,287614735;0,289811786;0,29;0,29
immobilier Upside L'atelier -16.jpeg;277;2450131;2598929;0,101364467;0,107520394;0,1;0,11
immobilier Upside L'atelier -17.jpeg;0;18189372;0;0,752513229;0;0,75;0
immobilier Upside L'atelier -2.jpeg;1883;546686;806838;0,022616968;0,033379727;0,02;0,03
immobilier Upside L'atelier -3.jpeg;4719;2286132;2905479;0,094579657;0,120202687;0,09;0,12
immobilier Upside L'atelier -4.jpeg;1700;6110496;6369158;0,252797572;0,263498688;0,25;0,26
immobilier Upside L'atelier -5.jpeg;1623;8111806;8660627;0,335593847;0,358299142;0,34;0,36
immobilier Upside L'atelier -6.jpeg;1190;3048040;3155683;0,126100583;0,130553886;0,13;0,13
immobilier Upside L'atelier -7.jpeg;1441;7838088;7963955;0,324269849;0,329477097;0,32;0,33
immobilier Upside L'atelier -8.jpeg;3027;1404510;1861795;0,058106039;0,077024395;0,06;0,08
immobilier Upside L'atelier -9.jpeg;3068;1816137;2346128;0,075135476;0,097061754;0,08;0,1
Risques et pollution Programme immo  Clichy-0.jpeg;3216;3118113;3866741;0,128999576;0,159971095;0,13;0,16
Risques et pollution Programme immo  Clichy-1.jpeg;1882;5005858;5401747;0,207097549;0,223475889;0,21;0,22
Risques et pollution Programme immo  Clichy-10.jpeg;5469;6256058;8556607;0,258819623;0,353995727;0,26;0,35
Risques et pollution Programme immo  Clichy-11.jpeg;1892;2009358;2410732;0,083129229;0,099734489;0,08;0,1
Risques et pollution Programme immo  Clichy-12.jpeg;836;8684411;8959878;0,359283111;0,370679467;0,36;0,37
Risques et pollution Programme immo  Clichy-13.jpeg;1108;2099351;2381821;0,086852333;0,098538411;0,09;0,1
Risques et pollution Programme immo  Clichy-14.jpeg;2768;3793072;5042899;0,156923332;0,208629974;0,16;0,21
Risques et pollution Programme immo  Clichy-15.jpeg;2477;3413340;4599888;0,141213424;0,190302148;0,14;0,19
Risques et pollution Programme immo  Clichy-16.jpeg;2116;2884938;3892936;0,119352884;0,161054809;0,12;0,16
Risques et pollution Programme immo  Clichy-17.jpeg;1914;2637753;3527652;0,109126584;0,14594263;0,11;0,15
Risques et pollution Programme immo  Clichy-18.jpeg;1187;4355022;4842143;0,180171787;0,20032449;0,18;0,2
